2015-03-08 11:13:42,059 INFO  [main] eu.plumbr.agent.bVX - Overwriting existing libs. Use property 'overwriteNativeLibs' to change this
2015-03-08 11:13:42,787 INFO  [main] eu.plumbr.agent.cbO - Native library successfully loaded
2015-03-08 11:13:42,787 INFO  [main] Native - Plumbr native logging started. Native agent built on Fri Feb 27 10:57:48 2015
2015-03-08 11:13:44,135 WARN  [netty - 1] eu.plumbr.agent.bXQ - Unknown websocket request: '{'request':'startUpdates', 'updateInterval':'5000'}'
2015-03-08 11:13:44,163 INFO  [netty - 1] eu.plumbr.agent.bXI - Handshake complete, websocket connection is fully established
2015-03-08 11:13:44,166 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Enabled probes: [allocation_stats, contention, gc, gcmbean, heap]
2015-03-08 11:13:44,191 INFO  [Plumbr thread - 5] eu.plumbr.agent.bXj$a - Found major Garbage Collector MarkSweepCompact
2015-03-08 11:13:44,192 INFO  [Plumbr thread - 1] eu.plumbr.agent.bWa - Plumbr session 004191XLiXYMLGNyME4ZLfalDZWBaEff0= started
2015-03-08 11:14:03,469 INFO  [main] eu.plumbr.agent.bYG - Main class: com.razormind.metaliquid.Main
2015-03-08 11:14:12,218 INFO  [Plumbr thread - 2] eu.plumbr.agent.bXo - Warmup completed. Plumbr status is running.
2015-03-08 11:14:12,266 INFO  [Plumbr thread - 14] eu.plumbr.agent.bWs - Object tracking started. Objects allocated during warmup: 7939
2015-03-08 11:14:14,194 INFO  [Plumbr thread - 3] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:15:14,270 INFO  [Plumbr thread - 14] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:16:24,290 INFO  [Plumbr thread - 10] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:17:34,301 INFO  [Plumbr thread - 11] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:18:44,312 INFO  [Plumbr thread - 10] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:18:44,401 INFO  [Plumbr thread - 10] eu.plumbr.agent.bWK - We have 4 leak suspects. Totally they consume approx. 3648760. This is 0.34797 of threshold value of 10485760. Confidence: 34
2015-03-08 11:19:54,367 INFO  [Plumbr thread - 16] eu.plumbr.agent.bWz - Running heap leak analysis.
2015-03-08 11:21:04,376 INFO  [Plumbr thread - 16] eu.plumbr.agent.bWz - Running heap leak analysis.
